episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count,released_datetime,release_year,release_month,release_day_of_week,release_quarter,publish_year,publish_month,publish_hour,publish_day_of_week,publish_time_category,runtime_minutes,runtime_category,description_length,description_word_count,title_length,title_word_count,lead_cast_count,supporting_cast_count,total_cast_count,has_jethalal,has_tapu,has_daya,has_taarak,has_bhide,has_champaklal,like_to_view_ratio,comment_to_view_ratio,comment_to_like_ratio,engagement_score,view_category
3747,Babita Ka License,Bagha uses Bawri’s idea to prevent Rustom and Babita from learning the truth. Mahila Mandal is very excited because Babita is getting a car. How will everyone react when they get to know about Jethalal's lies?,20 mins,17-Apr-23,Babita,Bagha,Gokuldham Society,Sony SAB,2023-05-09 07:30:09+00:00,982319,12512,214,2023-04-17,2023,4,Monday,2,2023.0,5.0,7.0,Tuesday,Morning,20,Standard,209,36,17,3,1,1,2,False,False,False,False,False,False,0.012737193582539295,0.0002178516165811548,0.017102213697754335,7.72945679615604,Low
3748,Sihayi Hatane Ka Idea,"Bagha asks Dolly from Ramsung about Babita’s car colour. Bagha suggests they should make a duplicate car coupon. Later, Taarak gives an idea to Jethalal on how to get the ink off the car coupon. Will this idea work?",21 mins,18-Apr-23,"Jethalal, Taarak, Babita, Bagha",Bagha,Gokuldham Society,Sony SAB,2023-05-10 07:30:10+00:00,767576,10746,172,2023-04-18,2023,4,Tuesday,2,2023.0,5.0,7.0,Wednesday,Morning,21,Standard,215,39,21,4,4,1,5,True,False,False,True,False,False,0.013999898381530452,0.000224081753361552,0.01600446636270587,8.489571730262892,Low
3749,Taarak Ka Tedha Idea,"Rustom makes it clear to Jethalal that if he doesn’t receive the car coupon before 6 pm, he won’t give the car to Babita. Taarak has an idea that he believes could help Jethalal with his problem, but his boss won’t let him out of his sight. How will Taarak help Jethalal now?",20 mins,19-Apr-23,Taarak,,Gokuldham Society,Sony SAB,2023-05-11 07:30:01+00:00,963218,12736,175,2023-04-19,2023,4,Wednesday,2,2023.0,5.0,7.0,Thursday,Morning,20,Standard,275,53,20,4,1,0,1,False,False,False,True,False,False,0.01322233053957615,0.00018168246265906298,0.013739499097118631,8.006071308809315,Low
3750,Car Coupon Ka Sach,Jethalal decides to tell the truth to Rustom about the car coupon. How will Rustom react to the truth?,21 mins,20-Apr-23,Jethalal,,Gokuldham Society,Sony SAB,2023-05-12 07:30:06+00:00,797182,10753,231,2023-04-20,2023,4,Thursday,2,2023.0,5.0,7.0,Friday,Morning,21,Standard,102,19,18,4,1,0,1,True,False,False,False,False,False,0.013488747251258494,0.0002897703538585243,0.02148037939371397,8.209156492298506,Low
3751,Sachai Ki Raah,"Taarak prepares Jethalal to tell the truth to Babita and Champaklal. Later, Babita along with Tapu Sena plans to surprise Iyer with the new car.",20 mins,21-Apr-23,"Jethalal, Taarak, Tapu, Bapuji, Babita, Iyer","Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2023-05-13 07:30:05+00:00,899651,11792,246,2023-04-21,2023,4,Friday,2,2023.0,5.0,7.0,Saturday,Morning,20,Standard,144,25,14,3,6,4,10,True,True,False,True,False,False,0.013107290374500362,0.0002734390631044004,0.020859832103790384,7.973749849941977,Low
3752,Babita Ki Narazgi,Jethalal and Taarak arrive at Babita's house to tell her the truth about the car coupon. How will Babita react when she finds out what happened?,21 mins,22-Apr-23,Babita,,Gokuldham Society,Sony SAB,2023-05-15 07:30:18+00:00,905175,11702,172,2023-04-22,2023,4,Saturday,2,2023.0,5.0,7.0,Monday,Morning,21,Standard,144,26,17,3,1,0,1,False,False,False,False,False,False,0.012927872590523831,0.00019001829478466065,0.014697086217209263,7.832730872228162,Low
3753,Taarak And Jethalal Are Stressed,"Taarak gets upset when Anjali asks him to welcome Babita’s new car with everyone. Popatlal calls Jethalal to Abdul’s soda shop, but Jethalal avoids his call.",20 mins,24-Apr-23,"Jethalal, Jetha, Taarak","Abdul, Anjali, Bagha, Nattu",Gokuldham Society,Sony SAB,2023-05-16 07:30:07+00:00,824444,10356,197,2023-04-24,2023,4,Monday,2,2023.0,5.0,7.0,Tuesday,Morning,20,Standard,157,26,32,5,3,4,7,True,False,False,True,False,False,0.012561177519422156,0.00023894862604540023,0.019020952013131216,7.632285962071454,Low
3754,Jethalal Is Restless,Jethalal is not able to sleep because he is tense and decides to run away from home. Will he run away from the situation or face the situation and own his mistake?,21 mins,25-Apr-23,"Jethalal, Jetha",,Gokuldham Society,Taarak Mehta Ka Ooltah Chashmah,2023-05-03 15:00:04+00:00,419129,5361,104,2023-04-25,2023,4,Tuesday,2,2023.0,5.0,15.0,Wednesday,Afternoon,21,Standard,163,32,20,3,2,0,2,True,False,False,False,False,False,0.012790780903299692,0.00024813303748240405,0.01939574785527788,7.773721756972776,Low
3755,Dukh Dayak Samachar,"Taarak acts irritable and asks Jethalal to talk to Babita. Babita asks Tapu to get a cake for Jethalal. Later, Jethalal writes a letter to Babita. What will happen next?",20 mins,26-Apr-23,Daya,Rita,Gokuldham Society,Sony SAB,2023-05-18 07:30:21+00:00,1319921,15359,151,2023-04-26,2023,4,Wednesday,2,2023.0,5.0,7.0,Thursday,Morning,20,Standard,169,30,19,3,1,1,2,False,False,True,False,False,False,0.011636293659776866,0.00011440069943526966,0.009830729166666666,7.027536475640228,Low
3756,Jethalal Ka Khat,Jethalal asks Goli to give his letter to Babita. Babita loses the letter and calls Jethalal to ask about the letter. Will Jethalal tell her the truth?,21 mins,27-Apr-23,"Jethalal, Jetha",Goli,Gokuldham Society,Sony SAB,2023-05-19 07:30:11+00:00,878191,12054,251,2023-04-27,2023,4,Thursday,2,2023.0,5.0,7.0,Friday,Morning,21,Standard,150,27,16,3,2,1,3,True,False,False,False,False,False,0.013725927815329678,0.00028581449159181593,0.02082123600165906,8.349882485834533,Low
3757,Iyer Ke Liye Surprise,"Taarak asks Jethalal to tell Iyer the entire truth. Everyone is eagerly waiting for Babita’s car, and Tapu Sena prepares to surprise Iyer.",22 mins,28-Apr-23,Iyer,"Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2023-05-20 07:30:01+00:00,5066590,54339,574,2023-04-28,2023,4,Friday,2,2023.0,5.0,7.0,Saturday,Morning,22,Standard,138,23,21,4,1,4,5,False,False,False,False,False,False,0.010724962800431295,0.00011329116559832834,0.01056312108943688,6.480294146498108,Below_Avg
3758,Car Ka Golmol,Babita asks Jethalal to call Ramsung company and ask about the car. Jethalal tries to tell the truth to Babita in front of everyone when Bagha along with Rustom arrives in Gokuldham society. Will Babita finally learn the truth?,21 mins,29-Apr-23,"Jethalal, Babita, Bagha","Anjali, Bagha, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2023-05-22 07:30:10+00:00,1869626,26234,346,2023-04-29,2023,4,Saturday,2,2023.0,5.0,7.0,Monday,Morning,21,Standard,227,39,13,3,3,5,8,True,False,False,False,False,False,0.014031675836945017,0.00018506365173374153,0.013188488660186773,8.493030962860507,Low
3759,Jethalal's Letter,The entire Gokuldham society cheers for Jethalal. Rustom asks Babita to send the car to his showroom for registration. Babita reads the letter Jethalal had written to her. What will be Babita’s reaction?,22 mins,01-May-23,"Jethalal, Jetha","Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2023-05-23 07:30:08+00:00,2513105,38204,489,2023-05-01,2023,5,Monday,2,2023.0,5.0,7.0,Tuesday,Morning,22,Standard,203,33,17,2,2,4,6,True,False,False,False,False,False,0.015201905530447184,0.0001945799341531953,0.012799371809972517,9.198975291929589,Below_Avg
3760,Chamatkari Baba,Nattu Kaka and Bagha tell everyone that whoever took out the ink from the coupon has asked them not to reveal his identity. Who is this mystery man?,22 mins,02-May-23,"Bagha, Nattu","Bagha, Nattu",Gokuldham Society,Sony SAB,2023-05-24 07:30:03+00:00,1372862,20297,455,2023-05-02,2023,5,Tuesday,2,2023.0,5.0,7.0,Wednesday,Morning,22,Standard,148,28,15,2,2,2,4,False,False,False,False,False,False,0.014784432241236016,0.0003314241843505142,0.02241600157651,9.003229018481814,Low
3761,Babita Ke Car Ka Sapna Hua Poora,"Babita thanks everyone for making her dream come true. Jethalal asks Taarak to write a letter to Rustom. Later, Gada Electronic employees get sad when they don’t get a commission from Jethalal.",22 mins,03-May-23,Babita,,Gokuldham Society,Sony SAB,2023-05-25 07:30:02+00:00,1157257,16077,534,2023-05-03,2023,5,Wednesday,2,2023.0,5.0,7.0,Thursday,Morning,22,Standard,193,32,32,7,1,0,1,False,False,False,False,False,False,0.013892321331976102,0.00046143556579431727,0.033213086204751836,8.519967025503387,Low
3762,Surprise Gift,"Champaklal decides to give a surprise gift to Tapu. Later, Bhide stops Tapu Sena from playing cricket at night. What will Tapu Sena do now?",22 mins,04-May-23,"Tapu, Bapuji, Bhide","Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2023-05-26 07:30:03+00:00,1993872,25329,343,2023-05-04,2023,5,Thursday,2,2023.0,5.0,7.0,Friday,Morning,22,Standard,139,25,13,2,3,4,7,False,True,False,False,True,False,0.012703416917727459,0.00017202700472898725,0.013541255428345835,7.69086095252807,Low
3763,Bhide Gets Protective,"Bhide scolds Tapu for calling Sonu inappropriately. Later, Bhide reads Tapu's messages on Sonu's phone and gets furious.",22 mins,05-May-23,Bhide,Sonu,Gokuldham Society,Sony SAB,2023-05-27 07:30:05+00:00,2778048,30682,674,2023-05-05,2023,5,Friday,2,2023.0,5.0,7.0,Saturday,Morning,22,Standard,120,18,21,3,1,1,2,False,False,False,False,True,False,0.011044441620720153,0.0002426163109433995,0.021966561288009646,6.723711496809451,Below_Avg
3764,Jasoos Bhide,Bhide follows Tapu and Sonu and spies on them. What will he find after following them?,21 mins,06-May-23,Bhide,Sonu,Gokuldham Society,Sony SAB,2023-05-29 07:30:04+00:00,9295586,99216,1507,2023-05-06,2023,5,Saturday,2,2023.0,5.0,7.0,Monday,Morning,21,Standard,86,16,12,2,1,1,2,False,False,False,False,True,False,0.010673451821816095,0.00016211993927871366,0.015188929316548576,6.468919068801142,Average
3765,Tapu Ka Proposal,"Bhide gets scared when he finds out his friend's daughter ran away with someone. Later, Bhide sees Tapu planning a surprise for Sonu and proposing to her. How will Bhide react now?",23 mins,08-May-23,Tapu,Sonu,Gokuldham Society,Sony SAB,2023-05-30 07:30:12+00:00,2409301,34157,755,2023-05-08,2023,5,Monday,2,2023.0,5.0,7.0,Tuesday,Morning,23,Standard,180,32,16,3,1,1,2,False,True,False,False,False,False,0.014177135120462274,0.0003133687682158567,0.022103167632765385,8.631628579563706,Low
3766,Bhide Ki Sharamnak News,"Bhide tells Madhavi about Tapu and Sonu, but she doesn't believe him. Bhide calls Jethalal and says he has a piece of very shocking news for him. How will Jethalal react to Bhide's news?",21 mins,09-May-23,Bhide,"Madhavi, Sonu",Gokuldham Society,Sony SAB,2023-05-31 07:30:01+00:00,2386560,31347,1081,2023-05-09,2023,5,Tuesday,2,2023.0,5.0,7.0,Wednesday,Morning,21,Standard,186,34,23,4,1,2,3,False,False,False,False,True,False,0.013134799403828354,0.00045295301481923153,0.03448385861936966,8.062060848224704,Low
3767,Problem Kya Hai?,"Everyone tries to find out what happened between Bhide and Jethalal. Later, Everyone gathers in Jethalal's house and waits for Bhide to come. What will Bhide do now?",21 mins,10-May-23,"Jethalal, Bhide",,Gokuldham Society,Sony SAB,2023-06-01 07:30:03+00:00,2680819,37282,855,2023-05-10,2023,5,Wednesday,2,2023.0,6.0,7.0,Thursday,Morning,21,Standard,165,28,16,3,2,0,2,True,False,False,False,True,False,0.01390693892167322,0.000318932266992935,0.022932703913311696,8.471736259801105,Below_Avg
3768,Bhide Ko Laga Jhatka,"Tapu gives a surprise to everyone and a return gift to Champaklal. Later, everyone asks Bhide what he wanted to talk to Jethalal about.",22 mins,11-May-23,Bhide,,Gokuldham Society,Sony SAB,2023-06-02 07:30:14+00:00,3311705,39664,632,2023-05-11,2023,5,Thursday,2,2023.0,6.0,7.0,Friday,Morning,22,Standard,135,24,20,4,1,0,1,False,False,False,False,True,False,0.011976908578237319,0.00019083819638579028,0.015933442581621077,7.262480425496707,Below_Avg
3769,Bhide Ki Asli Baat,Champaklal decides to give everyone a dinner treat. Jethalal is curious about what Bhide wanted to tell him and asks for Taarak's help. Will Bhide tell Jethalal the truth?,21 mins,12-May-23,Bhide,,Gokuldham Society,Sony SAB,2023-06-03 07:30:12+00:00,1436120,19070,470,2023-05-12,2023,5,Friday,2,2023.0,6.0,7.0,Saturday,Morning,21,Standard,171,29,18,4,1,0,1,False,False,False,False,True,False,0.013278825391453784,0.0003272704737274923,0.02464474857112894,8.098203424363266,Low
3770,Popatlal Ki Shaadi Ki Charcha,"Anjali and Taarak talk about Popatlal's marriage. Later, the kids tell Champaklal about their new game.",22 mins,13-May-23,"Popat, Popatlal","Anjali, Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2023-06-05 07:30:03+00:00,1495299,18606,334,2023-05-13,2023,5,Saturday,2,2023.0,6.0,7.0,Monday,Morning,22,Standard,103,16,29,5,2,5,7,False,False,False,False,False,False,0.012442988029158029,0.0002233665485186919,0.0179502337829849,7.5551394369022935,Low
3771,Hasi Khushi Se Raho,"Madhavi gets extremely upset because she thinks Bhide doesn't like her food. Later, Gokuldham men meet at Abdul’s soda shop, and Taarak’s deep words impress everyone.",22 mins,15-May-23,"Taarak, Bhide, Madhavi, Abdul","Abdul, Anjali, Bagha, Komal, Madhavi, Nattu, Roshan",Gokuldham Society,Sony SAB,2023-06-06 07:30:19+00:00,1331010,19980,474,2023-05-15,2023,5,Monday,2,2023.0,6.0,7.0,Tuesday,Morning,22,Standard,166,26,19,4,4,7,11,False,False,False,True,True,False,0.015011145662958457,0.00035612027248460007,0.023722536409589108,9.149135506768914,Low
3772,Popatlal Is Hurt,"Popatlal gets angry when Jethalal says girls refuse to get married to him. Later, someone plays the violin in the Gokuldham society, and everybody dances. Who is this talented person?",22 mins,16-May-23,"Popat, Popatlal","Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2023-06-07 15:00:01+00:00,1465926,17608,327,2023-05-16,2023,5,Tuesday,2,2023.0,6.0,15.0,Wednesday,Afternoon,22,Standard,183,30,16,3,2,4,6,False,False,False,False,False,False,0.012011512169432722,0.00022306704221970126,0.018570049406553466,7.2961341185475135,Low
3773,Matchmaker Vinu Kaka,"Popatlal finds out about Vinu Kaka and feels positive about his marriage. Later, Popatlal meets Vinu Kaka and asks him about his marriage. Will Popatlal get any good news?",22 mins,17-May-23,Popatlal,Nattu,Gokuldham Society,Sony SAB,2023-06-08 15:00:23+00:00,1193634,15879,299,2023-05-17,2023,5,Wednesday,2,2023.0,6.0,15.0,Thursday,Afternoon,22,Standard,171,29,20,3,1,1,2,False,False,False,False,False,False,0.013303061656201435,0.0002504953356763165,0.018828715365239293,8.082035127991386,Low
3774,Kuch Pao Aur Kuch Kho,"Popatlal says he needs some time to think about changing his name. Bhide gets worried when Viku Kaka sees Sonu’s hand and says she will get married to someone who lives nearby. Later, Popatlal goes to Jethalal and asks for his advice.",22 mins,18-May-23,"Jethalal, Popatlal, Bhide","Nattu, Sonu",Gokuldham Society,Sony SAB,2023-06-09 15:00:44+00:00,1019671,13249,508,2023-05-18,2023,5,Thursday,2,2023.0,6.0,15.0,Friday,Afternoon,22,Standard,234,42,21,5,3,2,5,True,False,False,False,True,False,0.01299339395413427,0.0004981994209902793,0.03833962264150943,7.995316140876674,Low
3775,Beheno Ka Decision,Bagha makes chits to solve Popatlal’s problem. Popatlal decides to let Mahila Mandal make the final decision about his name. Will Mahila Mandal solve Popatlal’s problem?,21 mins,19-May-23,"Popatlal, Bagha",Bagha,Gokuldham Society,Sony SAB,2023-06-10 15:00:23+00:00,862001,11460,502,2023-05-19,2023,5,Friday,2,2023.0,6.0,15.0,Saturday,Afternoon,21,Standard,169,26,18,3,2,1,3,False,False,False,False,False,False,0.013294632727070238,0.0005823652381316981,0.04380071546985429,8.20972573149482,Low
3776,P Se Naam,"Everyone tries to find a new name for Popatlal. Later, Popatlal invites everyone to his party to celebrate his name-keeping ceremony.",20 mins,20-May-23,Popatlal,,Gokuldham Society,Sony SAB,2023-06-12 15:00:38+00:00,1120829,14306,373,2023-05-20,2023,5,Saturday,2,2023.0,6.0,15.0,Monday,Afternoon,20,Standard,133,21,9,3,1,0,1,False,False,False,False,False,False,0.012763755431242918,0.0003327890937965615,0.026071153980568952,7.791368896264375,Low
3777,Name Voting,"Everyone arrives at Popatlal’s name ceremony party except Jethalal and Champaklal. Later, Popatlal gives a speech to everyone.",21 mins,22-May-23,"Jethalal, Bapuji, Popatlal",,Gokuldham Society,Sony SAB,2023-06-13 15:00:30+00:00,1368482,16242,536,2023-05-22,2023,5,Monday,2,2023.0,6.0,15.0,Tuesday,Afternoon,21,Standard,126,18,11,2,3,0,3,True,False,False,False,False,False,0.011868616563011743,0.0003916745768855002,0.03299883026534507,7.277839768561245,Low
3778,Choose One Name,Everyone from Gokuldham society votes for names that would suit Popatlal the most. Whose name will Popatlal choose?,21 mins,23-May-23,Popatlal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2023-06-14 15:00:42+00:00,1494151,19886,717,2023-05-23,2023,5,Tuesday,2,2023.0,6.0,15.0,Wednesday,Afternoon,21,Standard,115,18,15,3,1,4,5,False,False,False,False,False,False,0.013309221551756447,0.0004798708565125904,0.036053703424347563,8.177481273658904,Low
3779,Unlucky Name,"Jethalal suggests a few names from the letter P for Popatlal. Later, Popatlal finally finds the perfect name for himself but Iyer says it’s not the right name for him. What will happen now?",21 mins,24-May-23,"Jethalal, Popatlal, Iyer",,Gokuldham Society,Sony SAB,2023-06-15 15:00:36+00:00,1214299,15688,358,2023-05-24,2023,5,Wednesday,2,2023.0,6.0,15.0,Thursday,Afternoon,21,Standard,189,34,12,2,3,0,3,True,False,False,False,False,False,0.012919377419089188,0.00029482006094045955,0.02281853527949519,7.869554475829696,Low
3780,Alvida Popatlal,Tapu Sena decides to give a gift to Popatlal. Popatlal’s relative’s ghost is angry because she doesn’t want him to change his name. What will he do now?,22 mins,25-May-23, Popatlal,"Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2023-06-16 15:00:33+00:00,2299184,27600,351,2023-05-25,2023,5,Thursday,2,2023.0,6.0,15.0,Friday,Afternoon,22,Standard,152,28,15,2,1,4,5,False,False,False,False,False,False,0.012004253681195728,0.00015266279138042394,0.01271693054599471,7.263617325269607,Low
3781,Pyaarelal Ka Purse,"A girl compliments Pyaarelal for his name and will marry someone with the same name. Pyaarelal’s editor is upset with him because he changed his name. Later, Pyaarelal gets into confusion with the police because of his name.",22 mins,26-May-23,Popatlal,"Inspector, Pyaarelal",Gokuldham Society,Sony SAB,2023-06-17 15:00:42+00:00,1086477,14499,349,2023-05-26,2023,5,Friday,2,2023.0,6.0,15.0,Saturday,Afternoon,22,Standard,224,38,18,3,1,2,3,False,False,False,False,False,False,0.013344954982981707,0.0003212214145155263,0.02406896551724138,8.135461555595235,Low
3782,Rishta Aa Gaya,"Pyaarelal starts doubting his decision to change the name but Anjali informs him about a proposal that came for him. Later, Pyaarelal asks Taarak to take an off from the office and be with him, but his boss is in a bad mood. What will Taarak do now?",22 mins,27-May-23,"Taarak, Anjali",Anjali,Gokuldham Society,Sony SAB,2023-06-19 15:00:18+00:00,1081368,14181,322,2023-05-27,2023,5,Saturday,2,2023.0,6.0,15.0,Monday,Afternoon,22,Standard,249,48,14,3,2,1,3,False,False,False,True,False,False,0.013113932431945063,0.0002977706962193294,0.022704837117472853,7.987467737654771,Low
3783,Do Do Rishte,"Taarak convinces his boss to give him leave from the office for half a day. Pyaarelal asks Anjali about Sapna. Later, Pyaarelal sets up a meeting with two different girls for marriage on the same day. What will happen now?",22 mins,29-May-23,"Taarak, Anjali",Anjali,Gokuldham Society,Sony SAB,2023-06-20 15:00:00+00:00,894520,12441,345,2023-05-29,2023,5,Monday,2,2023.0,6.0,15.0,Tuesday,Afternoon,22,Standard,222,40,12,3,2,1,3,False,False,False,True,False,False,0.013908002159815141,0.0003856812752299834,0.027728660986979584,8.499073805981078,Low
3784,Ek Ghante Ki Meeting,Everyone gets ready to meet Sapna and Kalpana. Pyaarelal gets happy when he meets Sapna. Will this meeting change Pyaarelal’s life?,22 mins,30-May-23,Popatlal,,Gokuldham Society,Sony SAB,2023-06-21 15:00:04+00:00,876542,12360,271,2023-05-30,2023,5,Tuesday,2,2023.0,6.0,15.0,Wednesday,Afternoon,22,Standard,131,21,20,4,1,0,1,False,False,False,False,False,False,0.014100848446682022,0.0003091690881109084,0.02192379257341639,8.584176703253576,Low
3785,Sapna Ka Jawab,Sapna’s father asks questions to Pyaarelal. Sapna and Pyaarelal talk in private to get to know each other better. Will Sapna say yes to Pyaarelal?,21 mins,31-May-23,Popatlal,,Gokuldham Society,Sony SAB,2023-06-22 15:00:21+00:00,896315,12149,316,2023-05-31,2023,5,Wednesday,2,2023.0,6.0,15.0,Thursday,Afternoon,21,Standard,146,25,14,3,1,0,1,False,False,False,False,False,False,0.013554371449354915,0.00035255423310528875,0.026008230452674898,8.273644562855065,Low
3786,Sapna Ya Kalpana?,"Pyaarelal and Sapna talk it out in person and seem to like each other. However, Pyaarelal is concerned about meeting Kalpana first before giving his decision. Who will he pick?",21 mins,01-Jun-23,Popatlal,,Gokuldham Society,Sony SAB,2023-06-23 15:00:05+00:00,909311,12007,438,2023-06-01,2023,6,Thursday,2,2023.0,6.0,15.0,Friday,Afternoon,21,Standard,176,30,17,3,1,0,1,False,False,False,False,False,False,0.013204488668355855,0.00048168285472972974,0.03647568287808128,8.115366342905403,Low
3787,Hum Dono Ki Haan Hai,"Pyaarelal and Kalpana talk in private. Later, Sapna and Kalpana both agree to marry Pyaarelal. What will happen now?",21 mins,02-Jun-23,Popatlal,,Gokuldham Society,Sony SAB,2023-06-24 15:00:16+00:00,1068973,13907,619,2023-06-02,2023,6,Friday,2,2023.0,6.0,15.0,Saturday,Afternoon,21,Standard,116,19,20,5,1,0,1,False,False,False,False,False,False,0.013009670955514353,0.0005790599210083688,0.04450675870002876,8.037426541711959,Low
3788,Pyaarelal's Dilemma,Pyaarelal gets into trouble when he says yes to both Kalpana and Sapna for marriage. How will he get out of this problem?,21 mins,03-Jun-23,Popatlal,"Inspector, Pyaarelal",Gokuldham Society,Sony SAB,2023-06-26 15:00:40+00:00,907590,13071,425,2023-06-03,2023,6,Saturday,2,2023.0,6.0,15.0,Monday,Afternoon,21,Standard,121,23,19,2,1,2,3,False,False,False,False,False,False,0.014401861631505822,0.0004682726029676363,0.03251223990208078,8.828426020090546,Low
3789,Tapu Sena Ka Idea,"Champaklal asks Pyaarelal to refuse to marry either Sapna or Kalpana. Later, Pyaarelal tells Tapu Sena about his problem. Will Tapu Sena find a solution to his problem?",21 mins,05-Jun-23,"Popatlal,Tapu Sena","Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2023-06-27 12:30:22+00:00,850140,11845,416,2023-06-05,2023,6,Monday,2,2023.0,6.0,12.0,Tuesday,Afternoon,21,Standard,168,28,17,4,2,4,6,False,True,False,False,False,False,0.01393298288166316,0.0004893305933956838,0.0351173391862232,8.555521966356169,Low
3790,Pyaarelal Under Pressure,"Pyaarelal decides to meet Sapna and Kalpana once again. Later, Sapna’s family treats Pyaarelal like their son-in-law which makes the situation even more difficult for him.",21 mins,06-Jun-23,Popatlal,Pyaarelal,Gokuldham Society,Sony SAB,2023-06-28 12:30:17+00:00,791818,10769,314,2023-06-06,2023,6,Tuesday,2,2023.0,6.0,12.0,Wednesday,Afternoon,21,Standard,171,26,24,3,1,1,2,False,False,False,False,False,False,0.013600330378533478,0.00039655527336424106,0.02915506035283194,8.318820336465784,Low
3791,Pyaarelal Ke Bahane,Pyaarelal tells Sapna he has to leave to attend to a work emergency but instead goes to meet Kalpana. Will Sapna find out about this?,21 mins,07-Jun-23,Popatlal,Pyaarelal,Gokuldham Society,Sony SAB,2023-06-29 12:30:31+00:00,844602,11164,607,2023-06-07,2023,6,Wednesday,2,2023.0,6.0,12.0,Thursday,Afternoon,21,Standard,133,25,19,3,1,1,2,False,False,False,False,False,False,0.013218044454021593,0.0007186808476882038,0.05436632333184057,8.218299011488238,Low
3792,Bohot Sara Khaana,Pyaarelal goes out with Sapna to get to know her better but soon leaves to meet Kalpana. Will Pyaarelal be able to choose one girl between Kalpana and Sapna?,20 mins,08-Jun-23,Popatlal,,Gokuldham Society,Sony SAB,2023-06-30 12:30:20+00:00,1072965,13767,407,2023-06-08,2023,6,Thursday,2,2023.0,6.0,12.0,Friday,Afternoon,20,Standard,157,29,17,3,1,0,1,False,False,False,False,False,False,0.012830788673639239,0.0003793223643619649,0.029561301568855315,7.850202149928329,Low
3793,6 Baje Wali Samasya,Kalpana and Sapna are head over heels in love with Pyaarelal. Pyaarelal is worried because he fixes a date with Kalpana and Sapna at the same time and same place. What will happen now?,22 mins,09-Jun-23,Popatlal,,Gokuldham Society,Sony SAB,2023-07-01 12:30:15+00:00,860273,10817,318,2023-06-09,2023,6,Friday,2,2023.0,7.0,12.0,Saturday,Afternoon,22,Standard,184,34,19,4,1,0,1,False,False,False,False,False,False,0.012573900873442647,0.00036964966975637997,0.029395452024403773,7.69220039196814,Low
3794,Yellow Or Blue?,Kalpana gets a tatto for Pyaarelal. Pyaarelal goes to Sapna while he is on a date with Kalpana. Police find Pyaarelal's behaviour suspicious and keep an eye on him.,20 mins,10-Jun-23,Popatlal,Inspector,Gokuldham Society,Sony SAB,2023-07-03 12:30:14+00:00,845360,11849,475,2023-06-10,2023,6,Saturday,2,2023.0,7.0,12.0,Monday,Afternoon,20,Standard,164,29,15,3,1,1,2,False,False,False,False,False,False,0.014016497094140847,0.0005618901274130224,0.04008438818565401,8.634654307449717,Low
3795,Pyaarelal Ka Shagun,"Pyaarelal tells his dream to everyone. Kalpana’s father fixes a meeting with Pyaarelal to give him Shagun, and Sapna’s family also decides to come with Shagun to Pyaarelal’s house.",21 mins,12-Jun-23,Popatlal,Pyaarelal,Gokuldham Society,Sony SAB,2023-07-04 12:30:34+00:00,853522,10955,253,2023-06-12,2023,6,Monday,2,2023.0,7.0,12.0,Tuesday,Afternoon,21,Standard,180,29,19,3,1,1,2,False,False,False,False,False,False,0.012835037837293195,0.0002964184913587566,0.023092369477911646,7.819590098919419,Low
3796,Pyaarelal Ke Khushi Ka Din,"Gokuldham society members prepare for Pyaarelal and Kalpana’s Shagun ceremony. Later, Kalpana comes with her family to Pyaarelal’s house.",21 mins,13-Jun-23,Popatlal,"Anjali, Komal, Madhavi, Pyaarelal, Roshan",Gokuldham Society,Sony SAB,2023-07-05 12:30:31+00:00,1346649,17126,507,2023-06-13,2023,6,Tuesday,2,2023.0,7.0,12.0,Wednesday,Afternoon,21,Standard,137,19,26,5,1,5,6,False,False,False,False,False,False,0.012717484127278803,0.0003764898080421787,0.029602382203538273,7.7810863995841535,Low
3797,Kalpana Ka Final Decision,"Kalpana and her family find out the truth about Pyaarelal's name and Kalpana decides to break up with him. Later, Jethalal and Taarak give good news to Pyaarelal. What is it?",20 mins,14-Jun-23,"Jethalal, Taarak",,Gokuldham Society,Sony SAB,2023-07-06 14:01:37+00:00,2619320,28259,609,2023-06-14,2023,6,Wednesday,2,2023.0,7.0,14.0,Thursday,Afternoon,20,Standard,174,31,25,4,2,0,2,True,False,False,True,False,False,0.010788673858606868,0.00023250300364101995,0.021549893842887472,6.566205516620529,Below_Avg
