episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
3729,Gada Electronics Ki Scheme,"Jethalal is excited about the new scheme that Gada Electronics has been selected for and wishes to see Babita benefit from it. Tapu is keen on marketing this scheme in the best possible way. Later, Jethalal tells the society members about the scheme at Gada Electronics.",22 mins,27-Mar-23,Gada,,Gokuldham Society,Sony SAB,2023-04-18T07:30:10Z,1310186,19217,337
3730,Popatlal Calls Out On The Scheme,"Popatlal calls out schemes such as the one announced by Jethalal, to be fraudulent. All the society members look forward to making purchases to increase their probability of benefiting from the scheme.",20 mins,28-Mar-23,"Popat, Popatlal",,Gokuldham Society,Sony SAB,2023-04-19T07:30:00Z,1870085,22171,230
3731,Scheme Ke Liye Excitement,The society members are excited and looking forward to making purchases under the scheme offered by Gada Electronics. Bagha and Natu Kaka have made all the necessary preparations for the big day of the sale. How will Jethalal react?,22 mins,29-Mar-23,"Jethalal, Bagha",,Gokuldham Society,Sony SAB,2023-04-20T07:30:02Z,1472251,19100,321
3732,Tapu Sena Ka Marketing Plan,"Bagha and Nattu Kaka ask Bawri to hide before Jethalal reaches the store. Tapu Sena presents their marketing plan for the scheme before Jethalal. Later, a crowd assembles outside Jethalal's shop but doesn't enter the premises. What is the matter?",20 mins,30-Mar-23,"Tapu, Tapu Sena",,,Sony SAB,2023-04-21T07:30:11Z,1497410,21019,737
3733,Jethalal Gets Concerned,"All the society members are impressed with the promotional video made by Tapu Sena, for the scheme offered by Gada Electronics. Jethalal shares his worries with Taarak about the probability of things not running smoothly. What will happen?",20 mins,31-Mar-23,"Jethalal, Jetha",,Gokuldham Society,Sony SAB,2023-04-22T07:30:12Z,2957617,42135,586
3734,Sale At Gada Electronics,Jethalal gets anxious when he sees there are no customers at Gada electronics. Bagha gets caps for the employees of Gada electronics. Will people turn up at Gada Electronics?,22 mins,01-Apr-23,Gada,,,Sony SAB,2023-04-24T07:30:01Z,2012576,27600,193
3735,The Day Of The Scheme,"The society members assemble before setting out to make purchases under the scheme at Gada Electronics. Meanwhile, Jethalal's shop is packed with customers. Will the society members reach on time before the coupons run out?",21 mins,03-Apr-23,Jethalal,,Gokuldham Society,Sony SAB,2023-04-25T07:30:11Z,22238488,172585,1425
3736,The Society Members Reach The Shop,"Sunita reaches Jethalal's shop to make a purchase. While Jethalal and his team continue attending to various customers, the society members, except Babita, arrive at the shop. Will Babita reach in time?",22 mins,04-Apr-23,"Jethalal, Babita",,Gokuldham Society,Sony SAB,2023-04-26T07:30:03Z,10087565,114361,1154
3737,Chalu Panday Arrives At Gada Electronics,Inspector Panday arrives at Jethalal's shop to shop under the scheme followed by Babita. All the society members make their purchases under the scheme and return to the society.,21 mins,05-Apr-23,Gada,,Gokuldham Society,Sony SAB,2023-04-27T07:30:14Z,1715346,24627,378
3738,Fantasies About Winning The Lucky Draw,Jethalal is happy about the day that it has gone well. The society members decide to sit together at the clubhouse to watch the results of the lucky draw. They fantasize about what they'd do if they won the car.,20 mins,06-Apr-23,Jethalal,,Gokuldham Society,Sony SAB,2023-04-28T07:30:03Z,1721375,22831,450
3739,Kaash Mujhe Car Mil Jae,"Bhide interrupts Tapu Sena's enthusiasm for creating a ruckus in the compound. Later, the society members pray to their respective gods, asking god to make them win the car.",22 mins,07-Apr-23,"Tapu, Bhide",,Gokuldham Society,Sony SAB,2023-04-29T07:30:12Z,5854673,62653,566
3740,Lucky Draw Ka Din,All the society members gather together in the clubhouse for the lucky draw's announcement hoping to win a car under the Ramsang company's scheme. Who will win the car?,21 mins,08-Apr-23,Gokuldham  members,,Gokuldham Society,Sony SAB,2023-05-01T07:30:17Z,5798580,70606,1223
3741,Popatlal Wins The Honeymoon Coupon,"All the society members gear up for the announcement of the last two coupon prizes. With Popatlal having won the honeymoon coupon, who will win the car?",20 mins,10-Apr-23,"Popat, Popatlal",,Gokuldham Society,Sony SAB,2023-05-02T07:30:14Z,1621563,21747,342
3742,Khushi Bhet,"Jethalal, Bagha and Nattu Kaka recount the events that transpired during the lucky draw viewing at the clubhouse, for Champaklal. Later, an excited Babita decides to attend driving lessons.",21 mins,11-Apr-23,"Jethalal, Bapuji, Babita, Bagha, Nattu",,,Sony SAB,2023-05-03T07:30:07Z,1403418,18400,277
3743,Coupon Kahan Gaya?,"Babita gets a nightmare and calls Jethalal in the middle of the night to make sure that the coupon is safe with Jethalal. The following morning, Jethalal leaves for his shop with Babita, Bhide and Popatlal coupons.",21 mins,12-Apr-23,"Jethalal, Popatlal, Babita, Bhide",,,Sony SAB,2023-05-04T07:30:07Z,1244025,17406,264
3744,Taarak Warns Jethalal,"Taarak warns Jethalal, asking him to be careful with the coupons because of his streak of bad luck when it comes to handling others' responsibilities. Meanwhile, Babita registers for driving lessons and Jethalal tries to speed up the process of Babita receiving the car earlier than customary.",22 mins,13-Apr-23,"Jethalal, Jetha, Taarak",,,Sony SAB,2023-05-05T07:30:10Z,1100413,14924,292
3745,Is The Coupon At Risk?,"Jethalal is ecstatic to inform Babita about her being able to receive the car on her preferred day. Later, Jethalal calls Taarak in agony, asking for help on a situation with the coupon. What is it regarding?",22 mins,14-Apr-23,"Jethalal, Taarak, Babita",,,Sony SAB,2023-05-06T07:30:00Z,1104066,15101,254
3746,Car Coupon,Rustom from Ramsung congratulates Jethalal and gives him a certificate of appreciation. Jethalal tells Rustom he doesn’t have the car coupon. How will Rustom react?,21 mins,15-Apr-23,Jethalal,,,Sony SAB,2023-05-08T07:30:13Z,1089451,13949,228
3747,Babita Ka License,Bagha uses Bawri’s idea to prevent Rustom and Babita from learning the truth. Mahila Mandal is very excited because Babita is getting a car. How will everyone react when they get to know about Jethalal's lies?,20 mins,17-Apr-23,Babita,,,Sony SAB,2023-05-09T07:30:09Z,982319,12512,214
3748,Sihayi Hatane Ka Idea,"Bagha asks Dolly from Ramsung about Babita’s car colour. Bagha suggests they should make a duplicate car coupon. Later, Taarak gives an idea to Jethalal on how to get the ink off the car coupon. Will this idea work?",21 mins,18-Apr-23,"Jethalal, Taarak, Babita, Bagha",,,Sony SAB,2023-05-10T07:30:10Z,767576,10746,172
3749,Taarak Ka Tedha Idea,"Rustom makes it clear to Jethalal that if he doesn’t receive the car coupon before 6 pm, he won’t give the car to Babita. Taarak has an idea that he believes could help Jethalal with his problem, but his boss won’t let him out of his sight. How will Taarak help Jethalal now?",20 mins,19-Apr-23,Taarak,,,Sony SAB,2023-05-11T07:30:01Z,963218,12736,175
3750,Car Coupon Ka Sach,Jethalal decides to tell the truth to Rustom about the car coupon. How will Rustom react to the truth?,21 mins,20-Apr-23,Jethalal,,,Sony SAB,2023-05-12T07:30:06Z,797182,10753,231
3751,Sachai Ki Raah,"Taarak prepares Jethalal to tell the truth to Babita and Champaklal. Later, Babita along with Tapu Sena plans to surprise Iyer with the new car.",20 mins,21-Apr-23,"Jethalal, Taarak, Tapu, Bapuji, Babita, Iyer",,,Sony SAB,2023-05-13T07:30:05Z,899651,11792,246
3752,Babita Ki Narazgi,Jethalal and Taarak arrive at Babita's house to tell her the truth about the car coupon. How will Babita react when she finds out what happened?,21 mins,22-Apr-23,Babita,,,Sony SAB,2023-05-15T07:30:18Z,905175,11702,172
3753,Taarak And Jethalal Are Stressed,"Taarak gets upset when Anjali asks him to welcome Babita’s new car with everyone. Popatlal calls Jethalal to Abdul’s soda shop, but Jethalal avoids his call.",20 mins,24-Apr-23,"Jethalal, Jetha, Taarak",,,Sony SAB,2023-05-16T07:30:07Z,824444,10356,197
3754,Jethalal Is Restless,Jethalal is not able to sleep because he is tense and decides to run away from home. Will he run away from the situation or face the situation and own his mistake?,21 mins,25-Apr-23,"Jethalal, Jetha",,,Taarak Mehta Ka Ooltah Chashmah,2023-05-03T15:00:04Z,419129,5361,104
3755,Dukh Dayak Samachar,"Taarak acts irritable and asks Jethalal to talk to Babita. Babita asks Tapu to get a cake for Jethalal. Later, Jethalal writes a letter to Babita. What will happen next?",20 mins,26-Apr-23,Daya,,,Sony SAB,2023-05-18T07:30:21Z,1319921,15359,151
3756,Jethalal Ka Khat,Jethalal asks Goli to give his letter to Babita. Babita loses the letter and calls Jethalal to ask about the letter. Will Jethalal tell her the truth?,21 mins,27-Apr-23,"Jethalal, Jetha",,,Sony SAB,2023-05-19T07:30:11Z,878191,12054,251
3757,Iyer Ke Liye Surprise,"Taarak asks Jethalal to tell Iyer the entire truth. Everyone is eagerly waiting for Babita’s car, and Tapu Sena prepares to surprise Iyer.",22 mins,28-Apr-23,Iyer,,,Sony SAB,2023-05-20T07:30:01Z,5066590,54339,574
3758,Car Ka Golmol,Babita asks Jethalal to call Ramsung company and ask about the car. Jethalal tries to tell the truth to Babita in front of everyone when Bagha along with Rustom arrives in Gokuldham society. Will Babita finally learn the truth?,21 mins,29-Apr-23,"Jethalal, Babita, Bagha",,Gokuldham Society,Sony SAB,2023-05-22T07:30:10Z,1869626,26234,346
3759,Jethalal's Letter,The entire Gokuldham society cheers for Jethalal. Rustom asks Babita to send the car to his showroom for registration. Babita reads the letter Jethalal had written to her. What will be Babita’s reaction?,22 mins,01-May-23,"Jethalal, Jetha",,Gokuldham Society,Sony SAB,2023-05-23T07:30:08Z,2513105,38204,489
3760,Chamatkari Baba,Nattu Kaka and Bagha tell everyone that whoever took out the ink from the coupon has asked them not to reveal his identity. Who is this mystery man?,22 mins,02-May-23,"Bagha, Nattu",,,Sony SAB,2023-05-24T07:30:03Z,1372862,20297,455
3761,Babita Ke Car Ka Sapna Hua Poora,"Babita thanks everyone for making her dream come true. Jethalal asks Taarak to write a letter to Rustom. Later, Gada Electronic employees get sad when they don’t get a commission from Jethalal.",22 mins,03-May-23,Babita,,,Sony SAB,2023-05-25T07:30:02Z,1157257,16077,534
3762,Surprise Gift,"Champaklal decides to give a surprise gift to Tapu. Later, Bhide stops Tapu Sena from playing cricket at night. What will Tapu Sena do now?",22 mins,04-May-23,"Tapu, Bapuji, Bhide",,,Sony SAB,2023-05-26T07:30:03Z,1993872,25329,343
3763,Bhide Gets Protective,"Bhide scolds Tapu for calling Sonu inappropriately. Later, Bhide reads Tapu's messages on Sonu's phone and gets furious.",22 mins,05-May-23,Bhide,,,Sony SAB,2023-05-27T07:30:05Z,2778048,30682,674
3764,Jasoos Bhide,Bhide follows Tapu and Sonu and spies on them. What will he find after following them?,21 mins,06-May-23,Bhide,,,Sony SAB,2023-05-29T07:30:04Z,9295586,99216,1507
3765,Tapu Ka Proposal,"Bhide gets scared when he finds out his friend's daughter ran away with someone. Later, Bhide sees Tapu planning a surprise for Sonu and proposing to her. How will Bhide react now?",23 mins,08-May-23,Tapu,,,Sony SAB,2023-05-30T07:30:12Z,2409301,34157,755
3766,Bhide Ki Sharamnak News,"Bhide tells Madhavi about Tapu and Sonu, but she doesn't believe him. Bhide calls Jethalal and says he has a piece of very shocking news for him. How will Jethalal react to Bhide's news?",21 mins,09-May-23,Bhide,,,Sony SAB,2023-05-31T07:30:01Z,2386560,31347,1081
3767,Problem Kya Hai?,"Everyone tries to find out what happened between Bhide and Jethalal. Later, Everyone gathers in Jethalal's house and waits for Bhide to come. What will Bhide do now?",21 mins,10-May-23,"Jethalal, Bhide",,,Sony SAB,2023-06-01T07:30:03Z,2680819,37282,855
3768,Bhide Ko Laga Jhatka,"Tapu gives a surprise to everyone and a return gift to Champaklal. Later, everyone asks Bhide what he wanted to talk to Jethalal about.",22 mins,11-May-23,Bhide,,,Sony SAB,2023-06-02T07:30:14Z,3311705,39664,632
3769,Bhide Ki Asli Baat,Champaklal decides to give everyone a dinner treat. Jethalal is curious about what Bhide wanted to tell him and asks for Taarak's help. Will Bhide tell Jethalal the truth?,21 mins,12-May-23,Bhide,,,Sony SAB,2023-06-03T07:30:12Z,1436120,19070,470
3770,Popatlal Ki Shaadi Ki Charcha,"Anjali and Taarak talk about Popatlal's marriage. Later, the kids tell Champaklal about their new game.",22 mins,13-May-23,"Popat, Popatlal",,,Sony SAB,2023-06-05T07:30:03Z,1495299,18606,334
3771,Hasi Khushi Se Raho,"Madhavi gets extremely upset because she thinks Bhide doesn't like her food. Later, Gokuldham men meet at Abdul’s soda shop, and Taarak’s deep words impress everyone.",22 mins,15-May-23,"Taarak, Bhide, Madhavi, Abdul",,Gokuldham Society,Sony SAB,2023-06-06T07:30:19Z,1331010,19980,474
3772,Popatlal Is Hurt,"Popatlal gets angry when Jethalal says girls refuse to get married to him. Later, someone plays the violin in the Gokuldham society, and everybody dances. Who is this talented person?",22 mins,16-May-23,"Popat, Popatlal",,Gokuldham Society,Sony SAB,2023-06-07T15:00:01Z,1465926,17608,327
3773,Matchmaker Vinu Kaka,"Popatlal finds out about Vinu Kaka and feels positive about his marriage. Later, Popatlal meets Vinu Kaka and asks him about his marriage. Will Popatlal get any good news?",22 mins,17-May-23,Popatlal,,,Sony SAB,2023-06-08T15:00:23Z,1193634,15879,299
3774,Kuch Pao Aur Kuch Kho,"Popatlal says he needs some time to think about changing his name. Bhide gets worried when Viku Kaka sees Sonu’s hand and says she will get married to someone who lives nearby. Later, Popatlal goes to Jethalal and asks for his advice.",22 mins,18-May-23,"Jethalal, Popatlal, Bhide",,,Sony SAB,2023-06-09T15:00:44Z,1019671,13249,508
3775,Beheno Ka Decision,Bagha makes chits to solve Popatlal’s problem. Popatlal decides to let Mahila Mandal make the final decision about his name. Will Mahila Mandal solve Popatlal’s problem?,21 mins,19-May-23,"Popatlal, Bagha",,,Sony SAB,2023-06-10T15:00:23Z,862001,11460,502
3776,P Se Naam,"Everyone tries to find a new name for Popatlal. Later, Popatlal invites everyone to his party to celebrate his name-keeping ceremony.",20 mins,20-May-23,Popatlal,,,Sony SAB,2023-06-12T15:00:38Z,1120829,14306,373
3777,Name Voting,"Everyone arrives at Popatlal’s name ceremony party except Jethalal and Champaklal. Later, Popatlal gives a speech to everyone.",21 mins,22-May-23,"Jethalal, Bapuji, Popatlal",,,Sony SAB,2023-06-13T15:00:30Z,1368482,16242,536
3778,Choose One Name,Everyone from Gokuldham society votes for names that would suit Popatlal the most. Whose name will Popatlal choose?,21 mins,23-May-23,Popatlal,,Gokuldham Society,Sony SAB,2023-06-14T15:00:42Z,1494151,19886,717
3779,Unlucky Name,"Jethalal suggests a few names from the letter P for Popatlal. Later, Popatlal finally finds the perfect name for himself but Iyer says it’s not the right name for him. What will happen now?",21 mins,24-May-23,"Jethalal, Popatlal, Iyer",,,Sony SAB,2023-06-15T15:00:36Z,1214299,15688,358
3780,Alvida Popatlal,Tapu Sena decides to give a gift to Popatlal. Popatlal’s relative’s ghost is angry because she doesn’t want him to change his name. What will he do now?,22 mins,25-May-23, Popatlal,,,Sony SAB,2023-06-16T15:00:33Z,2299184,27600,351
3781,Pyaarelal Ka Purse,"A girl compliments Pyaarelal for his name and will marry someone with the same name. Pyaarelal’s editor is upset with him because he changed his name. Later, Pyaarelal gets into confusion with the police because of his name.",22 mins,26-May-23,Popatlal,Pyaarelal,,Sony SAB,2023-06-17T15:00:42Z,1086477,14499,349
3782,Rishta Aa Gaya,"Pyaarelal starts doubting his decision to change the name but Anjali informs him about a proposal that came for him. Later, Pyaarelal asks Taarak to take an off from the office and be with him, but his boss is in a bad mood. What will Taarak do now?",22 mins,27-May-23,"Taarak, Anjali",,,Sony SAB,2023-06-19T15:00:18Z,1081368,14181,322
3783,Do Do Rishte,"Taarak convinces his boss to give him leave from the office for half a day. Pyaarelal asks Anjali about Sapna. Later, Pyaarelal sets up a meeting with two different girls for marriage on the same day. What will happen now?",22 mins,29-May-23,"Taarak, Anjali",,,Sony SAB,2023-06-20T15:00:00Z,894520,12441,345
3784,Ek Ghante Ki Meeting,Everyone gets ready to meet Sapna and Kalpana. Pyaarelal gets happy when he meets Sapna. Will this meeting change Pyaarelal’s life?,22 mins,30-May-23,Popatlal,,,Sony SAB,2023-06-21T15:00:04Z,876542,12360,271
3785,Sapna Ka Jawab,Sapna’s father asks questions to Pyaarelal. Sapna and Pyaarelal talk in private to get to know each other better. Will Sapna say yes to Pyaarelal?,21 mins,31-May-23,Popatlal,,,Sony SAB,2023-06-22T15:00:21Z,896315,12149,316
3786,Sapna Ya Kalpana?,"Pyaarelal and Sapna talk it out in person and seem to like each other. However, Pyaarelal is concerned about meeting Kalpana first before giving his decision. Who will he pick?",21 mins,01-Jun-23,Popatlal,,,Sony SAB,2023-06-23T15:00:05Z,909311,12007,438
3787,Hum Dono Ki Haan Hai,"Pyaarelal and Kalpana talk in private. Later, Sapna and Kalpana both agree to marry Pyaarelal. What will happen now?",21 mins,02-Jun-23,Popatlal,,,Sony SAB,2023-06-24T15:00:16Z,1068973,13907,619
3788,Pyaarelal's Dilemma,Pyaarelal gets into trouble when he says yes to both Kalpana and Sapna for marriage. How will he get out of this problem?,21 mins,03-Jun-23,Popatlal,Pyaarelal,,Sony SAB,2023-06-26T15:00:40Z,907590,13071,425
3789,Tapu Sena Ka Idea,"Champaklal asks Pyaarelal to refuse to marry either Sapna or Kalpana. Later, Pyaarelal tells Tapu Sena about his problem. Will Tapu Sena find a solution to his problem?",21 mins,05-Jun-23,"Popatlal,Tapu Sena",,,Sony SAB,2023-06-27T12:30:22Z,850140,11845,416
3790,Pyaarelal Under Pressure,"Pyaarelal decides to meet Sapna and Kalpana once again. Later, Sapna’s family treats Pyaarelal like their son-in-law which makes the situation even more difficult for him.",21 mins,06-Jun-23,Popatlal,Pyaarelal,,Sony SAB,2023-06-28T12:30:17Z,791818,10769,314
3791,Pyaarelal Ke Bahane,Pyaarelal tells Sapna he has to leave to attend to a work emergency but instead goes to meet Kalpana. Will Sapna find out about this?,21 mins,07-Jun-23,Popatlal,Pyaarelal,,Sony SAB,2023-06-29T12:30:31Z,844602,11164,607
3792,Bohot Sara Khaana,Pyaarelal goes out with Sapna to get to know her better but soon leaves to meet Kalpana. Will Pyaarelal be able to choose one girl between Kalpana and Sapna?,20 mins,08-Jun-23,Popatlal,,,Sony SAB,2023-06-30T12:30:20Z,1072965,13767,407
3793,6 Baje Wali Samasya,Kalpana and Sapna are head over heels in love with Pyaarelal. Pyaarelal is worried because he fixes a date with Kalpana and Sapna at the same time and same place. What will happen now?,22 mins,09-Jun-23,Popatlal,,,Sony SAB,2023-07-01T12:30:15Z,860273,10817,318
3794,Yellow Or Blue?,Kalpana gets a tatto for Pyaarelal. Pyaarelal goes to Sapna while he is on a date with Kalpana. Police find Pyaarelal's behaviour suspicious and keep an eye on him.,20 mins,10-Jun-23,Popatlal,,,Sony SAB,2023-07-03T12:30:14Z,845360,11849,475
3795,Pyaarelal Ka Shagun,"Pyaarelal tells his dream to everyone. Kalpana’s father fixes a meeting with Pyaarelal to give him Shagun, and Sapna’s family also decides to come with Shagun to Pyaarelal’s house.",21 mins,12-Jun-23,Popatlal,Pyaarelal,,Sony SAB,2023-07-04T12:30:34Z,853522,10955,253
3796,Pyaarelal Ke Khushi Ka Din,"Gokuldham society members prepare for Pyaarelal and Kalpana’s Shagun ceremony. Later, Kalpana comes with her family to Pyaarelal’s house.",21 mins,13-Jun-23,Popatlal,Pyaarelal,Gokuldham Society,Sony SAB,2023-07-05T12:30:31Z,1346649,17126,507
3797,Kalpana Ka Final Decision,"Kalpana and her family find out the truth about Pyaarelal's name and Kalpana decides to break up with him. Later, Jethalal and Taarak give good news to Pyaarelal. What is it?",20 mins,14-Jun-23,"Jethalal, Taarak",,,Sony SAB,2023-07-06T14:01:37Z,2619320,28259,609
3798,Yellow Shagun Ceremony,"Pyaarelal calls and invites Bagha, Nattu kaka and Bawri for his Shagun ceremony with Sapna. Later, everyone welcomes Sapna and her family to Gokuldham society.",21 mins,15-Jun-23,"Bagha, Nattu",,Gokuldham Society,Sony SAB,2023-07-07T12:30:36Z,2220798,25852,2116
3799,Sapna Ki Love Story,"A man named Swapnil loves Sapna, and Pyaarelal brings him to his Shagun ceremony and helps them get together with each other. Later, Pyaarelal decides to change his name back to Popatlal.",22 mins,16-Jun-23,Popatlal,,,Sony SAB,2023-07-08T12:30:34Z,1605373,20544,578
3800,Tapu Sena Ki Outstation Trip,"Tapu Sena visit Popatlal and helps cheer up his mood. Later, Tapu informs Jethalal that he is going outstation on a trip with all of his friends.",22 mins,17-Jun-23,"Tapu, Tapu Sena",,,Sony SAB,2023-07-10T12:30:06Z,1997559,21394,401
3801,Leave Ki Permission,Jethalal runs away to save himself from Anjali’s diet breakfast. Anjali reminds Taarak of their anniversary when they first met and asks him to take an off from the office. Will Taarak be able to convince his boss to take a leave for a day?,21 mins,19-Jun-23,"Jethalal, Taarak, Anjali",,,Sony SAB,2023-07-11T12:30:20Z,1086525,14277,270
3802,Bagha Ka Idea,Taarak is worried because he doesn’t know how to take leave from his office and decides to ask Jethalal for advice. Taarak shares his problem with Bagha. Will Bagha be able to help Taarak with his problem?,22 mins,20-Jun-23,Bagha,,,Sony SAB,2023-07-12T12:30:16Z,1092913,14743,501
3803,Boss Ki Permission,"Taarak tries to find out his boss’s mood and asks Bagha to call him. Later, Bagha reminds Taarak of the promise he made.",22 mins,21-Jun-23,"Taarak, Bagha",,,Sony SAB,2023-07-13T12:30:06Z,1101603,14435,233
3804,Taarak Ka Special Day,Jethalal finds out that his dream company wants to meet him tomorrow for a meeting. Jethalal asks Taarak to take a leave from his office and attend the meeting with him. How will Taarak manage to help Jethalal and also spend time with Anjali on their anniversary?,22 mins,22-Jun-23,Taarak,,,Sony SAB,2023-07-14T12:30:16Z,1441178,16838,249
3805,Important Meeting Ki Tyaari,"Taarak suggests Jethalal to take Bagha and Nattu Kaka for his dealership meeting. Later, Taarak asks Jethalal to stay quiet during the whole meeting and let Bagha and Nattu Kaka speak. Will Jethalal get this dealership?",22 mins,23-Jun-23,"Jethalal, Taarak, Bagha, Nattu",,,Sony SAB,2023-07-15T12:30:07Z,1669066,18299,280
3806,Bagha Is Well Prepared,Jethalal tells Taarak that Mike Gatting has become his company’s manager. Bagha impresses Jethalal with his presentation and English. Will he be able to get the dealership for Gada Electronics?,19 mins,24-Jun-23,Bagha,,,Sony SAB,2023-07-17T12:30:06Z,2581699,28033,401
3807,Hum Meeting Ke Liye Taiyyar Hain,"When the guests from the company arrive, they get a little confused seeing Jethalal with a 'Mon Vrat'. The dealership employees walk out as they only want to speak to Jethalal. Will Jethalal get the dealership?",21 mins,26-Jun-23,Jethalal,,,Sony SAB,2023-07-18T12:30:32Z,1236923,18744,275
3808,Jethalal Ke Priya Mitra,"Champaklal unknowingly exposes Jethalal and Taarak lying in front of the dealership employees. Later, Jethalal books a table for Anjali and Taarak at his friend’s restaurant.",21 mins,27-Jun-23,"Jethalal, Jetha",,,Sony SAB,2023-07-19T12:30:08Z,1685350,19813,372
3809,Jethalal Ne Baati Mithaiyaan,Jethalal joyfully distributes sweets to all the members of society to commemorate the successful acquisition of a new dealership.,16 mins,28-Jun-23,"Jethalal, Jetha",,Gokuldham Society,Sony SAB,2023-07-20T12:30:19Z,3170194,32864,327
3810,Wakeel Ka Number,"All the society members get ready for the monsoons as they run their chores. Meanwhile, Taarak gets called into his boss' cabin. Will he be in trouble?",20 mins,29-Jun-23,Taarak,,Gokuldham Society,Sony SAB,2023-07-21T12:30:33Z,1500094,18996,433
3811,Bagha Bana Vakeel,Tarak's boss asks him to share his lawyer's number which makes him nervous. He confirms with Bagha and asks him to pretend to be a lawyer. Will he get caught?,20 mins,30-Jun-23,Bagha,,,Sony SAB,2023-07-22T12:30:14Z,2400524,23870,356
3812,Mall Ke Daam,"Tapu Sena accidentally hurts Bhide. Later, Sunita sells vegetables to Mahila Mandal at a higher rate. What will Mahila Mandal do now?",21 mins,01-Jul-23,"Tapu, Bhide",,,Sony SAB,2023-07-24T12:30:13Z,2192632,25210,497
3813,Daya Ki Yaad,"Bhide asks Tapu Sena to stop playing video games. Later, everyone asks Jethalal when is Daya coming back and he starts missing her.",22 mins,03-Jul-23,Daya,,,Sony SAB,2023-07-25T12:30:07Z,1912750,23107,318
3814,Sundar In Trouble,Jethalal gets a call from the police station to inform him that they have arrested Sundar. How will Jethalal help him now?,21 mins,04-Jul-23,Sundar,,,Sony SAB,2023-07-26T12:30:26Z,1984731,23826,417
3815,Jethalal Ko Mila Bhoot,"Jethalal gets a call from the police station. Sodhi gives a lawyer’s number to Jethalal. Later, Jethalal and his friends have an encounter with a ghost on their way to the police station.",21 mins,05-Jul-23,"Jethalal, Jetha",,,Sony SAB,2023-07-27T12:30:29Z,1455314,18246,732
3816,Bin Bulaye Mehman,Sundar tells Jethalal that he won a challenge because of him and Jethalal asks for his commission. Sundar tricks Jethalal into making tea for him and his friends.,21 mins,06-Jul-23,Jethalal,,,Sony SAB,2023-07-28T12:30:00Z,2738220,29176,502
3817,Ghost Show,"Inspector Panday is furious with Jethalal for calling him to the police station in the middle of the night for no reason. Later, Sundar and his friends try to scare Inspector Panday by dressing up as ghosts.",21 mins,07-Jul-23,Jethalal,,,Sony SAB,2023-07-29T12:30:22Z,1248504,16233,261
3818,Sundar's Friend's Loan,"Champaklal apologizes to Inspector Panday on behalf of Jethalal. Sundar tells Jethalal that he has a surprise for him. Later, Sundar wakes up Champaklal and Tapu in the middle of the night.",21 mins,08-Jul-23,Sundar,,,Sony SAB,2023-07-30T12:30:14Z,5463635,53469,462
3819,Ek Bhayanak Sapna,"Sundar tells his problem to Champaklal and asks him to come to Ahmedabad with him. Later, Sundar plans a surprise for Jethalal. What is the surprise?",20 mins,10-Jul-23,"Jethalal, Bapuji",,,Sony SAB,2023-08-01T12:30:01Z,2751146,28882,419
3820,Surprise Ka Secret,"Anjali forces Taarak to drink healthy juice. Jethalal wants to know what surprise Sundar is planning for him. Later, everyone gathers at the clubhouse to find out about Sundar’s surprise.",21 mins,11-Jul-23,"Jethalal, Taarak, Anjali",,,Sony SAB,2023-08-02T12:30:16Z,10375173,90157,1104
3821,Sundar Ka Start Up,"Sundar asks Jethalal to do the inauguration of his stall. Everyone enjoys food from Sundar’s stall. Later, Sunday tells everyone that he has one more surprise for Jethalal.",21 mins,12-Jul-23,Sundar,,,Sony SAB,2023-08-03T12:30:28Z,2867831,31613,567
3822,Jethalal Tries To Run,"Bagha and Nattu Kaka try to convince Jethalal to take up Sundar’s offer to join his food business. Jethalal fears that he might have to pay for the lights and decorations. Later, Tapu tells Sundar about the games Tapu Sena has made.",21 mins,13-Jul-23,"Jethalal, Jetha",,,Sony SAB,2023-08-04T12:30:20Z,1210866,16935,333
3823,Jethalal Ki Doosri Shaadi,"Sundar leaves for Ahmedabad but Jethalal tries to stop him. Taarak asks Jethalal to get re-married. Later, Taarak tricks Sundar and forces him to return to Gokuldham society.",21 mins,14-Jul-23,"Jethalal, Jetha",,Gokuldham Society,Sony SAB,2023-08-05T12:30:24Z,3746840,33832,678
3824,Doosri Shaadi Ke Sapne,"Taarak tells Sundar that Jethalal is thinking about getting married again. Later, Champaklal finds out about Jethalal’s intentions and gets angry at him. What will happen now?",21 mins,15-Jul-23,"Jethalal, Taarak, Bapuji",,,Sony SAB,2023-08-07T12:30:22Z,2171902,27537,1679
3825,Daya Ke Wapas Aane Ki News,"Sundar says he knew that everyone was acting when they said Jethalal is getting married again. Later, Sundar decides to tell Jethalal when Daya is returning to Gokuldham society.",20 mins,17-Jul-23,Daya,,Gokuldham Society,Sony SAB,2023-08-08T12:30:30Z,1659331,19404,478
3826,Iyer Ki Good News,"All the Gokuldham men are very happy to sit and have soda together. Iyer gets angry with Jethalal for pulling his leg. Later, Iyer says he has good news for everyone. What is it?",22 mins,18-Jul-23,Iyer,,Gokuldham Society,Sony SAB,2023-08-09T12:30:14Z,2806661,29061,398
